Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2023-24,2024-25,2025-26,2026-27,2027-28,Source document,Source table,URL
Finance,Department of Finance,"Outcome 3: Support for Parliamentarians and others as required by the Australian Government through the delivery of, and advice on, work expenses and allowances, entitlements and targeted programs",Program 3.1: Ministerial and Parliamentary Services,Administered Expenses,Australian Political Parties for Democracy Program,,2200,2200,2200,2200,2200,2024-25 PBS Finance.xlsx,2.3.1,
Finance,Department of Finance,"Outcome 3: Support for Parliamentarians and others as required by the Australian Government through the delivery of, and advice on, work expenses and allowances, entitlements and targeted programs",Program 3.1: Ministerial and Parliamentary Services,Administered Expenses,Australian Constitution s 66,,5605,5853,5633,5633,5633,2024-25 PBS Finance.xlsx,2.3.1,
Finance,Department of Finance,"Outcome 3: Support for Parliamentarians and others as required by the Australian Government through the delivery of, and advice on, work expenses and allowances, entitlements and targeted programs",Program 3.1: Ministerial and Parliamentary Services,Administered Expenses,Parliamentary Business Resources Act 2017,,239676,237508,236702,209541,209541,2024-25 PBS Finance.xlsx,2.3.1,
Finance,Department of Finance,"Outcome 3: Support for Parliamentarians and others as required by the Australian Government through the delivery of, and advice on, work expenses and allowances, entitlements and targeted programs",Program 3.1: Ministerial and Parliamentary Services,Administered Expenses,Expenses not requiring appropriation in the Budget year,,11912,9196,10174,8578,8578,2024-25 PBS Finance.xlsx,2.3.1,
Finance,Department of Finance,"Outcome 3: Support for Parliamentarians and others as required by the Australian Government through the delivery of, and advice on, work expenses and allowances, entitlements and targeted programs",Program 3.1: Ministerial and Parliamentary Services,Departmental Expenses,"Services to Senators, Members and their staff",,25477,28422,25958,25175,25620,2024-25 PBS Finance.xlsx,2.3.1,
Finance,Department of Finance,"Outcome 3: Support for Parliamentarians and others as required by the Australian Government through the delivery of, and advice on, work expenses and allowances, entitlements and targeted programs",Program 3.1: Ministerial and Parliamentary Services,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,1744,1737,1731,1677,1677,2024-25 PBS Finance.xlsx,2.3.1,
Finance,Independent Parliamentary Expenses Authority,"Outcome 1: Support for current and former Parliamentarians and others as required by the Australian Government through the delivery of, independent oversight and advice on, work resources and travel resources",Program 1.1: Independent Parliamentary Expenses Authority - Travel Oversight and Reporting,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),,45604,46562,47345,48248,49100,2024-25 PBS IPEA.xlsx,Table 2.1.1 ,
Finance,Independent Parliamentary Expenses Authority,"Outcome 1: Support for current and former Parliamentarians and others as required by the Australian Government through the delivery of, independent oversight and advice on, work resources and travel resources",Program 1.1: Independent Parliamentary Expenses Authority - Travel Oversight and Reporting,Administered Expenses,Parliamentary Business Resources Act 2017,,34510,35234,35835,36512,37244,2024-25 PBS IPEA.xlsx,Table 2.1.1 ,
Finance,Independent Parliamentary Expenses Authority,"Outcome 1: Support for current and former Parliamentarians and others as required by the Australian Government through the delivery of, independent oversight and advice on, work resources and travel resources",Program 1.1: Independent Parliamentary Expenses Authority - Travel Oversight and Reporting,Administered Expenses,Parliamentary Retirement Travel Act 2002,,629,641,651,666,679,2024-25 PBS IPEA.xlsx,Table 2.1.1 ,
Finance,Independent Parliamentary Expenses Authority,"Outcome 1: Support for current and former Parliamentarians and others as required by the Australian Government through the delivery of, independent oversight and advice on, work resources and travel resources",Program 1.1: Independent Parliamentary Expenses Authority - Travel Oversight and Reporting,Departmental Expenses,Departmental appropriation,,9958,10759,9325,9430,9440,2024-25 PBS IPEA.xlsx,Table 2.1.1 ,
Finance,Independent Parliamentary Expenses Authority,"Outcome 1: Support for current and former Parliamentarians and others as required by the Australian Government through the delivery of, independent oversight and advice on, work resources and travel resources",Program 1.1: Independent Parliamentary Expenses Authority - Travel Oversight and Reporting,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,56,56,56,56,56,2024-25 PBS IPEA.xlsx,Table 2.1.1 ,
Finance,Parliamentary Workplace Support Service,"Outcome 1: Support Commonwealth parliamentary workplace participants to build and maintain safe and respectful workplaces, including by supporting positive cultural change and providing human resource functions to parliamentarians and their staff",Program 1.1: Parliamentary Workplace Support Service,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),,0,0,6700,6854,7005,2024-25 PBS PWSS.xlsx,Table 2.1.1,
Finance,Parliamentary Workplace Support Service,"Outcome 1: Support Commonwealth parliamentary workplace participants to build and maintain safe and respectful workplaces, including by supporting positive cultural change and providing human resource functions to parliamentarians and their staff",Program 1.1: Parliamentary Workplace Support Service,Administered Expenses,Other services (Appropriation Bill No. 2),,0,6536,0,0,0,2024-25 PBS PWSS.xlsx,Table 2.1.1,
Finance,Parliamentary Workplace Support Service,"Outcome 1: Support Commonwealth parliamentary workplace participants to build and maintain safe and respectful workplaces, including by supporting positive cultural change and providing human resource functions to parliamentarians and their staff",Program 1.1: Parliamentary Workplace Support Service,Departmental Expenses,Departmental appropriation,,11554,16811,11850,12725,12425,2024-25 PBS PWSS.xlsx,Table 2.1.1,
Finance,Australian Electoral Commission,"Outcome 1: Maintain an impartial and independent electoral system for eligible voters through active electoral roll management, efficient delivery of polling services, and targeted education and public awareness programs",Program 1.1: Deliver Electoral Events,Administered Expenses,Commonwealth Electoral Act 1918,,0,75500,0,0,73000,2024-25 PBS AEC.xlsx,Table 2.1.1,
Finance,Australian Electoral Commission,"Outcome 1: Maintain an impartial and independent electoral system for eligible voters through active electoral roll management, efficient delivery of polling services, and targeted education and public awareness programs",Program 1.1: Deliver Electoral Events,Departmental Expenses,Departmental appropriation,,590907,651014,241790,240592,370753,2024-25 PBS AEC.xlsx,Table 2.1.1,
Finance,Australian Electoral Commission,"Outcome 1: Maintain an impartial and independent electoral system for eligible voters through active electoral roll management, efficient delivery of polling services, and targeted education and public awareness programs",Program 1.1: Deliver Electoral Events,Departmental Expenses,s74 External Revenue,,11038,11038,11038,11038,11038,2024-25 PBS AEC.xlsx,Table 2.1.1,
Finance,Australian Electoral Commission,"Outcome 1: Maintain an impartial and independent electoral system for eligible voters through active electoral roll management, efficient delivery of polling services, and targeted education and public awareness programs",Program 1.1: Deliver Electoral Events,Departmental Expenses,Commonwealth Electoral Act 1918,,14900,16116,16116,16116,16116,2024-25 PBS AEC.xlsx,Table 2.1.1,
Finance,Australian Electoral Commission,"Outcome 1: Maintain an impartial and independent electoral system for eligible voters through active electoral roll management, efficient delivery of polling services, and targeted education and public awareness programs",Program 1.1: Deliver Electoral Events,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,11966,11966,11966,11966,11966,2024-25 PBS AEC.xlsx,Table 2.1.1,
Finance,Commonwealth Superannuation Corporation,"Outcome 1: Retirement and insurance benefits for scheme members and beneficiaries, including past, present and future employees of the Australian Government and other eligible employers and members of the Australian Defence Force, through investment and administration of their superannuation funds and schemes",Program 1.1: Superannuation Scheme Governance,Departmental Expenses,CSC Special Account,,161634,172164,168809,170596,172491,2024-25 PBS CSC.xlsx,Table 2.1.1,
Finance,Commonwealth Superannuation Corporation,"Outcome 1: Retirement and insurance benefits for scheme members and beneficiaries, including past, present and future employees of the Australian Government and other eligible employers and members of the Australian Defence Force, through investment and administration of their superannuation funds and schemes",Program 1.1: Superannuation Scheme Governance,Departmental Expenses,Revenues from other sources,,630,630,630,630,630,2024-25 PBS CSC.xlsx,Table 2.1.1,
Finance,Digital Transformation Agency,"Outcome 1: Support the government's digital transformation, and simplify processes, reduce costs and generate reuse opportunities, through strategic and policy leadership, advice, strategic coordination and oversight of digital and ICT investment, and management of whole-of-government digital and ICT procurement",Program 1.1: Digital Transformation Agency,Departmental Expenses,Departmental appropriation,,49717,51701,51588,49361,49627,2024-25 PBS DTA.xlsx,Table 2.1.1,
Finance,Digital Transformation Agency,"Outcome 1: Support the government's digital transformation, and simplify processes, reduce costs and generate reuse opportunities, through strategic and policy leadership, advice, strategic coordination and oversight of digital and ICT investment, and management of whole-of-government digital and ICT procurement",Program 1.1: Digital Transformation Agency,Departmental Expenses,s74 External Revenue,,3836,4370,6440,3249,3500,2024-25 PBS DTA.xlsx,Table 2.1.1,
Finance,Digital Transformation Agency,"Outcome 1: Support the government's digital transformation, and simplify processes, reduce costs and generate reuse opportunities, through strategic and policy leadership, advice, strategic coordination and oversight of digital and ICT investment, and management of whole-of-government digital and ICT procurement",Program 1.1: Digital Transformation Agency,Departmental Expenses,ICT Coordinated Procurement Special Account 2017,,10891,11474,8743,14918,14405,2024-25 PBS DTA.xlsx,Table 2.1.1,
Finance,Digital Transformation Agency,"Outcome 1: Support the government's digital transformation, and simplify processes, reduce costs and generate reuse opportunities, through strategic and policy leadership, advice, strategic coordination and oversight of digital and ICT investment, and management of whole-of-government digital and ICT procurement",Program 1.1: Digital Transformation Agency,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,720,720,163,163,163,2024-25 PBS DTA.xlsx,Table 2.1.1,
Health and Aged Care,Food Standards Australia New Zealand,"Outcome 1: A safe food supply and well-informed consumers in Australia and New Zealand, including through the development of food regulatory measures and the promotion of their consistent implementation, coordination of food recall activities and the monitoring of consumer and industry food practices",Program 1.1: Food Regulatory Activity and Services to the Minister and Parliament,Departmental Expenses,Amounts from related entities,,17458,17855,18049,18383,18559,2024-25 PB Statement - FSANZ.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Food Standards Australia New Zealand,"Outcome 1: A safe food supply and well-informed consumers in Australia and New Zealand, including through the development of food regulatory measures and the promotion of their consistent implementation, coordination of food recall activities and the monitoring of consumer and industry food practices",Program 1.1: Food Regulatory Activity and Services to the Minister and Parliament,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,80,140,83,25,-151,2024-25 PB Statement - FSANZ.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Food Standards Australia New Zealand,"Outcome 1: A safe food supply and well-informed consumers in Australia and New Zealand, including through the development of food regulatory measures and the promotion of their consistent implementation, coordination of food recall activities and the monitoring of consumer and industry food practices",Program 1.1: Food Regulatory Activity and Services to the Minister and Parliament,Departmental Expenses,Revenues from other sources,,5068,4758,4758,4758,4758,2024-25 PB Statement - FSANZ.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Food Standards Australia New Zealand,"Outcome 1: A safe food supply and well-informed consumers in Australia and New Zealand, including through the development of food regulatory measures and the promotion of their consistent implementation, coordination of food recall activities and the monitoring of consumer and industry food practices",Program 1.1: Food Regulatory Activity and Services to the Minister and Parliament,Departmental Expenses,Operating deficit (surplus),,1084,150,0,0,0,2024-25 PB Statement - FSANZ.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Australian Sports Commission,"Outcome 1: Increased participation in organised sport and continued international sporting success including through leadership and development of a cohesive and effective sports sector, provision of targeted financial support, and the operation of the Australian Institute of Sport",Program 1.1: Australian Sports Commission,Departmental Expenses,Ordinary annual services,,378187,306899,303251,244258,248019,2024-25 PB Statement - ASC.xlsx,2.1.1 Prog Expense,
Health and Aged Care,Australian Sports Commission,"Outcome 1: Increased participation in organised sport and continued international sporting success including through leadership and development of a cohesive and effective sports sector, provision of targeted financial support, and the operation of the Australian Institute of Sport",Program 1.1: Australian Sports Commission,Departmental Expenses,Revenues from other sources,,21111,18576,16841,15461,15319,2024-25 PB Statement - ASC.xlsx,2.1.1 Prog Expense,
Health and Aged Care,Australian Sports Commission,"Outcome 1: Increased participation in organised sport and continued international sporting success including through leadership and development of a cohesive and effective sports sector, provision of targeted financial support, and the operation of the Australian Institute of Sport",Program 1.1: Australian Sports Commission,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,8907,9564,7863,8806,8786,2024-25 PB Statement - ASC.xlsx,2.1.1 Prog Expense,
Health and Aged Care,Cancer Australia,"Outcome 1: Minimised impacts of cancer, including through national leadership in cancer control with targeted research and clinical trials; evidence informed clinical practice; strengthened national data capacity; community and consumer information and support",Program 1.1: Improved Cancer Control,Administered Expenses,Ordinary annual services,,24743,34362,33264,33388,22608,2024-25 PB Statement - CA.xlsx,2.1.1 NCCE Prog Exp,
Health and Aged Care,Cancer Australia,"Outcome 1: Minimised impacts of cancer, including through national leadership in cancer control with targeted research and clinical trials; evidence informed clinical practice; strengthened national data capacity; community and consumer information and support",Program 1.1: Improved Cancer Control,Departmental Expenses,Departmental appropriation,,15086,14530,13709,14045,12398,2024-25 PB Statement - CA.xlsx,2.1.1 NCCE Prog Exp,
Health and Aged Care,Cancer Australia,"Outcome 1: Minimised impacts of cancer, including through national leadership in cancer control with targeted research and clinical trials; evidence informed clinical practice; strengthened national data capacity; community and consumer information and support",Program 1.1: Improved Cancer Control,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,434,284,177,127,206,2024-25 PB Statement - CA.xlsx,2.1.1 NCCE Prog Exp,
Health and Aged Care,Cancer Australia,"Outcome 1: Minimised impacts of cancer, including through national leadership in cancer control with targeted research and clinical trials; evidence informed clinical practice; strengthened national data capacity; community and consumer information and support",Program 1.1: Improved Cancer Control,Departmental Expenses,Operating deficit (surplus),,500,0,0,0,0,2024-25 PB Statement - CA.xlsx,2.1.1 NCCE Prog Exp,
Health and Aged Care,Australian Institute of Health and Welfare,"Outcome 1: A robust evidence-base for the health, housing and community sectors, including through developing and disseminating comparable health and welfare information and statistics","Program 1.1: Develop, Collect, Analyse and Report High Quality National Health and Welfare Information and Statistics for Governments and the Community",Departmental Expenses,Ordinary annual services,,35200,36066,35930,36209,36098,2024-25 PB Statement - AIHW.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Institute of Health and Welfare,"Outcome 1: A robust evidence-base for the health, housing and community sectors, including through developing and disseminating comparable health and welfare information and statistics","Program 1.1: Develop, Collect, Analyse and Report High Quality National Health and Welfare Information and Statistics for Governments and the Community",Departmental Expenses,Amounts from related entities,,47000,47000,47000,47000,47000,2024-25 PB Statement - AIHW.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Institute of Health and Welfare,"Outcome 1: A robust evidence-base for the health, housing and community sectors, including through developing and disseminating comparable health and welfare information and statistics","Program 1.1: Develop, Collect, Analyse and Report High Quality National Health and Welfare Information and Statistics for Governments and the Community",Departmental Expenses,Revenues from other sources,,30630,30030,30000,30000,30000,2024-25 PB Statement - AIHW.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Institute of Health and Welfare,"Outcome 1: A robust evidence-base for the health, housing and community sectors, including through developing and disseminating comparable health and welfare information and statistics","Program 1.1: Develop, Collect, Analyse and Report High Quality National Health and Welfare Information and Statistics for Governments and the Community",Departmental Expenses,Operating deficit (surplus),,0,1000,707,0,0,2024-25 PB Statement - AIHW.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Radiation Protection and Nuclear Safety Agency,"Outcome 1: Protection of people and the environment through radiation protection and nuclear safety research, policy, advice, codes, standards, services and regulation",Program 1.1: Radiation Protection and Nuclear Safety,Departmental Expenses,Ordinary annual services,,15112,15446,15568,15913,14860,2024-25 PB Statement - ARPANSA.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Radiation Protection and Nuclear Safety Agency,"Outcome 1: Protection of people and the environment through radiation protection and nuclear safety research, policy, advice, codes, standards, services and regulation",Program 1.1: Radiation Protection and Nuclear Safety,Departmental Expenses,Special accounts,,13424,14993,15431,15725,16023,2024-25 PB Statement - ARPANSA.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Radiation Protection and Nuclear Safety Agency,"Outcome 1: Protection of people and the environment through radiation protection and nuclear safety research, policy, advice, codes, standards, services and regulation",Program 1.1: Radiation Protection and Nuclear Safety,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,2863,2863,2863,2863,2863,2024-25 PB Statement - ARPANSA.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Radiation Protection and Nuclear Safety Agency,"Outcome 1: Protection of people and the environment through radiation protection and nuclear safety research, policy, advice, codes, standards, services and regulation",Program 1.1: Radiation Protection and Nuclear Safety,Departmental Expenses,Operating deficit (surplus),,0,0,0,0,0,2024-25 PB Statement - ARPANSA.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Radiation Protection and Nuclear Safety Agency,"Outcome 1: Protection of people and the environment through radiation protection and nuclear safety research, policy, advice, codes, standards, services and regulation",Program 1.2: Nuclear Powered Submarines,Departmental Expenses,Ordinary annual services,,8585,6167,0,0,0,2024-25 PB Statement - ARPANSA.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Digital Health Agency,Outcome 1: To deliver national digital healthcare systems to enable and support improvement in health outcomes for Australians,Program 1.1: Digital Health,Departmental Expenses,Ordinary annual services,,268494,285869,94307,89041,76314,2024-25 PB Statement - ADHA.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Australian Digital Health Agency,Outcome 1: To deliver national digital healthcare systems to enable and support improvement in health outcomes for Australians,Program 1.1: Digital Health,Departmental Expenses,Amounts from related entities,,0,0,0,0,0,2024-25 PB Statement - ADHA.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Australian Digital Health Agency,Outcome 1: To deliver national digital healthcare systems to enable and support improvement in health outcomes for Australians,Program 1.1: Digital Health,Departmental Expenses,Revenues from other sources,,32250,32250,32250,32250,0,2024-25 PB Statement - ADHA.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Australian Digital Health Agency,Outcome 1: To deliver national digital healthcare systems to enable and support improvement in health outcomes for Australians,Program 1.1: Digital Health,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,0,0,0,0,0,2024-25 PB Statement - ADHA.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Australian Digital Health Agency,Outcome 1: To deliver national digital healthcare systems to enable and support improvement in health outcomes for Australians,Program 1.1: Digital Health,Departmental Expenses,Operating deficit (surplus),,51178,67137,15423,15626,15626,2024-25 PB Statement - ADHA.xlsx,2.1.1 Prog Exp ,
Health and Aged Care,Australian Commission on Safety and Quality in Health Care,"Outcome 1: Improved safety and quality in health care across the health system, including through the development, support for implementation, and monitoring of national clinical safety and quality guidelines and standards",Program 1.1: Safety and Quality in Health Care,Departmental Expenses,Amounts from the Portfolio Department,,34883,24963,22216,22116,22499,2024-25 PB Statement - ACSQHC.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Commission on Safety and Quality in Health Care,"Outcome 1: Improved safety and quality in health care across the health system, including through the development, support for implementation, and monitoring of national clinical safety and quality guidelines and standards",Program 1.1: Safety and Quality in Health Care,Departmental Expenses,Amounts from other Government entities,,0,0,0,0,0,2024-25 PB Statement - ACSQHC.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Commission on Safety and Quality in Health Care,"Outcome 1: Improved safety and quality in health care across the health system, including through the development, support for implementation, and monitoring of national clinical safety and quality guidelines and standards",Program 1.1: Safety and Quality in Health Care,Departmental Expenses,Revenues from other sources,,9658,10035,9763,9763,10039,2024-25 PB Statement - ACSQHC.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Australian Commission on Safety and Quality in Health Care,"Outcome 1: Improved safety and quality in health care across the health system, including through the development, support for implementation, and monitoring of national clinical safety and quality guidelines and standards",Program 1.1: Safety and Quality in Health Care,Departmental Expenses,Operating deficit (surplus),,-30,-259,-372,-234,689,2024-25 PB Statement - ACSQHC.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Aged Care Quality and Safety Commission,"Outcome 1: Protect and enhance the safety, health, wellbeing and quality of life of older Australians receiving aged care services, including through effective engagement with them, regulation and education of Commonwealth-funded aged care service providers and resolution of aged care complaints",Program 1.1: Quality Aged Care Services,Departmental Expenses,Departmental appropriation,,296454,326686,232499,198882,198804,2024-25 PB Statement - ACQSC.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Aged Care Quality and Safety Commission,"Outcome 1: Protect and enhance the safety, health, wellbeing and quality of life of older Australians receiving aged care services, including through effective engagement with them, regulation and education of Commonwealth-funded aged care service providers and resolution of aged care complaints",Program 1.1: Quality Aged Care Services,Departmental Expenses,Expenses not requiring appropriation in the Budget year,,10968,11751,12754,15033,12687,2024-25 PB Statement - ACQSC.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Aged Care Quality and Safety Commission,"Outcome 1: Protect and enhance the safety, health, wellbeing and quality of life of older Australians receiving aged care services, including through effective engagement with them, regulation and education of Commonwealth-funded aged care service providers and resolution of aged care complaints",Program 1.1: Quality Aged Care Services,Departmental Expenses,Operating deficit (surplus),,0,0,0,0,0,2024-25 PB Statement - ACQSC.xlsx,2.1.1 Prog Exp,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.1: Health Research, Coordination and Access (a)",Administered Expenses,Ordinary annual services,,216897,160337,125235,118239,107794,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.1: Health Research, Coordination and Access (a)",Administered Expenses,Services for Other Entities and Trust Moneys Special Account,,-10931,-11478,-12052,-12655,-13288,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.1: Health Research, Coordination and Access (a)",Administered Expenses,Biomedical Translation Fund,,7501,0,0,0,0,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.1: Health Research, Coordination and Access (a)",Administered Expenses,Services for Other Entities and Trust Moneys Special Account,,10931,11478,12052,12655,13288,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.1: Health Research, Coordination and Access (a)",Administered Expenses,Medical Research Future Fund,,650000,650000,650000,650000,650000,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.1: Health Research, Coordination and Access (a)",Administered Expenses,National Health Act 1953 - blood fractionation products and blood related products to National Blood Authority,,1067215,1140796,1218600,1272065,1328630,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.1: Health Research, Coordination and Access (a)",Administered Expenses,Public Governance Performance and Accountability Act 2013 - s77,,2000,2000,2000,2000,2000,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.1: Health Research, Coordination and Access (a)",Administered Expenses,Payments to corporate entities,,322306,341233,148623,144440,132268,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community",Program 1.2: Mental Health (a),Administered Expenses,Ordinary annual services,,1543607,1548265,1290932,1266442,1321340,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community",Program 1.3: First Nations Health (a),Administered Expenses,Ordinary annual services,,1216503,1279382,1257655,1235964,1208271,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community",Program 1.4: Health Workforce (a),Administered Expenses,Ordinary annual services,,1804933,1925843,1845948,1826253,1682587,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community",Program 1.5: Preventive Health and Chronic Disease Support (a),Administered Expenses,Ordinary annual services,,618012,706172,700896,638693,540709,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community",Program 1.6: Primary Health Care Quality and Coordination (a),Administered Expenses,Ordinary annual services,,702035,725873,646823,511586,520090,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community",Program 1.7: Primary Care Practice Incentives and Medical Indemnity,Administered Expenses,Ordinary annual services,,480077,509235,472543,492630,502966,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community",Program 1.7: Primary Care Practice Incentives and Medical Indemnity,Administered Expenses,Medical Indemnity Act 2002,,134964,142664,151064,160164,169764,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community",Program 1.7: Primary Care Practice Incentives and Medical Indemnity,Administered Expenses,Midwife Professional Indemnity (Commonwealth Contribution) Scheme Act 2010,,4186,5323,9689,11289,13181,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
Health and Aged Care,Department of Health and Aged Care,"Outcome 1: Better equip Australia to meet current and future health needs of all Australians through the delivery of evidence-based health policies; improved access to comprehensive and coordinated health care; ensuring sustainable funding for health services, research and technologies; and protecting the health and safety of the Australian community","Program 1.8: Health Protection, Emergency Response and Regulation (a)",Administered Expenses,Ordinary annual services,,2634319,728614,730558,536072,541718,2024-25 PS Statement - Health.xlsx,O1 - Table 2.1.1,
